n,pythontime
7,0.013
14,0.013
21,0.013
28,0.013
35,0.013
42,0.013
49,0.014
56,0.015
63,0.015
70,0.015
77,0.015
84,0.016
91,0.016
98,0.017
105,0.017
112,0.018
119,0.019
126,0.019
133,0.02
140,0.02
147,0.021
154,0.022
161,0.023
168,0.024
175,0.025
182,0.027
189,0.028
196,0.029
203,0.03
210,0.031
217,0.033
224,0.034
231,0.035
238,0.036
245,0.037
252,0.039
259,0.04
266,0.042
273,0.043
280,0.045
287,0.047
294,0.048
301,0.049
308,0.052
315,0.053
322,0.055
329,0.058
336,0.06
343,0.061
350,0.062
357,0.065
358,0.066
359,0.068
360,0.067
361,0.068
362,0.068
363,0.068
364,0.069
365,0.07
366,0.069
367,0.071
368,0.07
369,0.07
370,0.07
371,0.072
372,0.072
373,0.075
374,0.073
375,0.075
376,0.076
377,0.075
378,0.074
380,0.072
385,0.076
390,0.077
395,0.078
400,0.079
405,0.083
410,0.083
415,0.085
420,0.086
425,0.09
430,0.095
435,0.096
440,0.093
445,0.099
