n,originaltime,originaltimeg,originaltimeless,originaltimeless_g,sqsumtime,sqsumtimeg,pythontime,sqsumtime_all,sqsumtimeg_all
7,0.003,0.004,0.004,0.004,0.003,0.003,0.013,0.016,0.016
14,0.004,0.008,0.004,0.008,0.004,0.003,0.013,0.017,0.016
21,0.007,0.007,0.006,0.005,0.004,0.008,0.013,0.017,0.021
28,0.012,0.011,0.009,0.008,0.007,0.005,0.013,0.02,0.018
35,0.02,0.018,0.013,0.011,0.008,0.007,0.013,0.021,0.02
42,0.029,0.028,0.018,0.016,0.01,0.008,0.013,0.023,0.021
49,0.044,0.044,0.025,0.023,0.015,0.011,0.014,0.029,0.025
56,0.062,0.061,0.036,0.032,0.015,0.013,0.015,0.03,0.028
63,0.088,0.083,0.047,0.045,0.018,0.017,0.015,0.033,0.032
70,0.113,0.11,0.062,0.059,0.021,0.019,0.015,0.036,0.034
77,0.147,0.143,0.079,0.076,0.027,0.023,0.015,0.042,0.038
84,0.189,0.181,0.102,0.096,0.029,0.026,0.016,0.045,0.042
91,0.233,0.232,0.124,0.118,0.034,0.03,0.016,0.05,0.046
98,0.29,0.295,0.154,0.146,0.038,0.034,0.017,0.055,0.051
105,0.351,0.357,0.189,0.175,0.045,0.038,0.017,0.062,0.055
112,0.423,0.425,0.225,0.212,0.051,0.044,0.018,0.069,0.062
119,0.503,0.522,0.263,0.258,0.055,0.047,0.019,0.074,0.066
126,0.594,0.607,0.307,0.295,0.061,0.052,0.019,0.08,0.071
133,0.69,0.7,0.366,0.34,0.069,0.085,0.02,0.089,0.105
140,0.797,0.814,0.415,0.398,0.075,0.065,0.02,0.095,0.085
147,0.911,0.917,0.482,0.463,0.084,0.073,0.021,0.105,0.094
154,1.049,1.08,0.551,0.526,0.091,0.08,0.022,0.113,0.102
161,1.194,1.198,0.629,0.623,0.09,0.077,0.023,0.113,0.1
168,1.353,1.334,0.696,0.676,0.106,0.093,0.024,0.13,0.117
175,1.526,1.531,0.808,0.758,0.115,0.101,0.025,0.14,0.126
182,1.711,1.696,0.885,0.876,0.123,0.107,0.027,0.15,0.134
189,1.891,1.898,0.979,0.943,0.132,0.117,0.028,0.16,0.145
196,2.123,2.208,1.101,1.065,0.142,0.125,0.029,0.171,0.154
203,2.331,2.423,1.209,1.173,0.156,0.136,0.03,0.186,0.166
210,2.584,2.731,1.319,1.29,0.165,0.143,0.031,0.196,0.174
217,2.837,2.921,1.498,1.416,0.175,0.158,0.033,0.208,0.191
224,3.1,3.16,1.593,1.546,0.187,0.165,0.034,0.221,0.199
231,3.413,3.549,1.766,1.735,0.203,0.175,0.035,0.238,0.21
238,3.721,3.9,1.901,1.85,0.214,0.186,0.036,0.25,0.222
245,4.091,4.206,2.072,2.026,0.207,0.173,0.037,0.244,0.21
252,4.395,4.437,2.255,2.194,0.24,0.207,0.039,0.279,0.246
259,4.774,4.83,2.445,2.384,0.254,0.229,0.04,0.294,0.269
266,5.24,5.286,2.639,2.572,0.277,0.232,0.042,0.319,0.274
273,5.582,5.793,2.875,2.776,0.278,0.245,0.043,0.321,0.288
280,6.543,6.041,3.505,2.986,0.295,0.257,0.045,0.34,0.302
287,6.871,6.659,3.296,3.327,0.312,0.284,0.047,0.359,0.331
294,7.385,7.132,3.54,3.438,0.328,0.283,0.048,0.376,0.331
301,7.441,7.648,3.801,3.7,1.21,0.293,0.049,1.259,0.342
308,7.981,8.04,4.098,4.026,0.375,0.316,0.052,0.427,0.368
315,9.01,8.562,4.374,4.214,0.388,0.322,0.053,0.441,0.375
322,11.528,9.421,4.671,4.511,13.513,0.303,0.055,13.568,0.358
329,24.2,10.118,4.965,4.78,14.122,0.361,0.058,14.18,0.419
336,13.762,10.581,35.935,5.095,0.43,0.374,0.06,0.49,0.434
343,10.832,10.978,5.863,5.49,0.443,0.404,0.061,0.504,0.465
350,31.131,12.117,6.04,5.842,6.553,0.413,0.062,6.615,0.475
357,12.217,12.448,36.537,6.132,1.162,0.369,0.065,1.227,0.434
364,185.903,13.768,6.868,6.514,0.521,0.423,0.069,0.59,0.492
371,600,14.167,23.5,6.842,13.776,0.44,0.072,13.848,0.512
378,285.003,15.202,355.899,7.226,393.836,0.478,0.074,393.91,0.552
385,353.393,16.183,7.805,7.653,600.201,0.484,0.076,600.277,0.56
395,75.542,17.151,8.404,8.263,600.206,0.52,0.078,600.284,0.598
400,21.233,18.163,500.005,8.972,177.89,0.53,0.079,177.969,0.609
405,408.599,18.509,500.005,8.863,600.218,0.522,0.083,600.301,0.605
